ORDER_NUMBER,ACCOUNT_NUMBER,ACCOUNT_NAME,ORDER_DATE,CUSTOMER_ORDER_NO,DELIVERY_INSTRUCTIONS,ORDER_STATUS
"""6058850""","""1568444""","""A-000131934""",01/11/2017,"""1710-4PMU-S""",""" ""","""Completed"""
"""6058851""","""1568639""","""A-000132127""",01/11/2017,"""1710-MZZC-S""",""" ""","""Completed"""
"""6058854""","""1568665""","""A-000132150""",01/11/2017,"""1710-QPSL-S""",""" ""","""Completed"""
"""6058856""","""1568789""","""A-000132235""",01/11/2017,"""1710-AD7H-S""",""" ""","""Completed"""
"""6058857""","""1569320""","""A-000133875""",01/11/2017,"""1710-FA9S-S""",""" ""","""Completed"""
"""6058858""","""1569425""","""A-000134176""",01/11/2017,"""1710-R3SA-S""",""" ""","""Completed"""
"""6058859""","""1569434""","""A-000134660""",01/11/2017,"""1710-8KRS-S""",""" ""","""Completed"""
"""6058862""","""1569538""","""A-000136898""",01/11/2017,"""1710-2N9K-S""",""" ""","""Completed"""
"""6068868""","""1570244""","""A-000139434""",11/11/2017,"""1711-XB6X-O""","""leave on garbage bins in front of garage""","""Completed"""
"""6119520""","""1573525""","""A-000148144""",28/12/2017,"""""",""" ""","""Completed"""
"""6119521""","""1573525""","""A-000148144""",28/12/2017,"""""",""" ""","""Completed"""
"""6119522""","""1573527""","""A-000148145""",28/12/2017,"""""",""" ""","""Completed"""
"""6119523""","""1573528""","""A-000148146""",28/12/2017,"""""",""" ""","""Completed"""
"""6119524""","""1573530""","""A-000148147""",28/12/2017,"""""",""" ""","""Completed/Cancelled"""
"""6119525""","""1573532""","""A-000148149""",28/12/2017,"""""","""Mem ""","""Completed"""
"""6119526""","""1573531""","""A-000148148""",28/12/2017,"""""",""" ""","""Completed"""
"""6119527""","""1573533""","""A-000148150""",28/12/2017,"""""",""" ""","""Completed"""
"""6129779""","""1574373""","""A-000148727""",11/01/2018,"""""",""" ""","""Completed"""
"""6129780""","""1574371""","""A-000148726""",11/01/2018,"""""",""" ""","""Completed"""
"""6129781""","""1574376""","""A-000148728""",11/01/2018,"""""",""" ""","""Completed"""
"""6129782""","""1574379""","""A-000148731""",11/01/2018,"""""",""" ""","""Completed"""
"""6129783""","""1574370""","""A-000148562""",11/01/2018,"""""",""" ""","""Completed/Cancelled"""
"""6120519""","""1573554""","""A-000148169""",30/12/2017,"""""",""" ""","""Completed"""
"""6120520""","""1573565""","""A-000148172""",31/12/2017,"""""",""" ""","""Completed"""
"""6120521""","""1573566""","""A-000148173""",31/12/2017,"""""",""" ""","""Completed"""
"""6120522""","""1573552""","""A-000148167""",30/12/2017,"""""",""" ""","""Completed"""
"""6120523""","""1573567""","""A-000148174""",31/12/2017,"""""",""" ""","""Completed"""
"""6044034""","""1568393""","""A-000131883""",20/11/2017,"""""",""" ""","""Completed"""
"""6044039""","""1569169""","""A-000133248""",20/11/2017,"""""",""" ""","""Completed"""
"""6044057""","""1567603""","""A-000131529""",20/11/2017,"""""",""" ""","""Completed"""
"""6099977""","""1569303""","""A-000133866""",10/12/2017,"""1712-MP6N-O""","""Collect from post office or co urier depo.""","""Completed/Cancelled"""
"""6143640""","""1574749""","""A-000149655""",27/01/2018,"""""",""" ""","""Completed"""
"""6143641""","""1574750""","""A-000149656""",27/01/2018,"""""","""Helen ""","""Completed"""
"""6143642""","""1574752""","""A-000149658""",27/01/2018,"""""",""" ""","""Completed"""
"""6157383""","""1569797""","""A-000137332""",13/02/2018,"""""",""" ""","""Completed"""
"""6134710""","""1574589""","""A-000149090""",17/01/2018,"""""",""" ""","""Completed"""
"""6154285""","""1575096""","""A-000149775""",10/02/2018,"""""",""" ""","""Completed"""
"""6154286""","""1575096""","""A-000149775""",10/02/2018,"""""",""" ""","""Completed"""
"""6154288""","""1575097""","""A-000149776""",10/02/2018,"""""",""" ""","""Completed"""
"""6154297""","""1575485""","""A-000149778""",11/02/2018,"""""",""" ""","""Completed"""
"""6083087""","""1571633""","""A-000143822""",23/11/2017,"""1711-XZLS-O""",""" ""","""Completed/Cancelled"""
"""6153771""","""1575077""","""A-000149754""",09/02/2018,"""""",""" ""","""Completed"""
"""6153885""","""1575082""","""A-000149756""",09/02/2018,"""""",""" ""","""Completed"""
"""6108253""","""1572351""","""A-000147824""",09/12/2017,"""""",""" ""","""Completed"""
"""6146487""","""1568854""","""A-000133069""",01/02/2018,"""1710-8AJA-S""",""" ""","""Completed"""
"""6146488""","""1568606""","""A-000132097""",01/02/2018,"""1710-7FLY-S""",""" ""","""Completed"""
"""6146489""","""1569249""","""A-000133267""",01/02/2018,"""1710-B2B3-S""",""" ""","""Completed"""
"""6146490""","""1568664""","""A-000132149""",01/02/2018,"""1710-S4A7-S""",""" ""","""Completed"""
"""6146493""","""1569303""","""A-000133866""",01/02/2018,"""1710-X4AZ-S""",""" ""","""Completed"""
"""6146494""","""1568549""","""A-000132035""",01/02/2018,"""1710-8KD2-S""",""" ""","""Completed"""
"""6146496""","""1568445""","""A-000131935""",01/02/2018,"""1710-F42Z-S""",""" ""","""Completed"""
"""6146497""","""1568681""","""A-000132161""",01/02/2018,"""1710-4JPR-S""",""" ""","""Completed"""
"""6146499""","""1568688""","""A-000132168""",01/02/2018,"""1710-H453-S""",""" ""","""Completed"""
"""6146500""","""1568633""","""A-000132121""",01/02/2018,"""1710-XQ6N-S""",""" ""","""Completed"""
"""6146502""","""1568528""","""A-000132015""",01/02/2018,"""1710-JCCM-S""",""" ""","""Completed"""
"""6146504""","""1570219""","""A-000138630""",01/02/2018,"""1711-MP9E-S""",""" ""","""Completed"""
"""6146509""","""1570744""","""A-000140831""",01/02/2018,"""1711-M8YR-S""",""" ""","""Completed"""
"""6146510""","""1570757""","""A-000140839""",01/02/2018,"""1711-HQ8H-S""",""" ""","""Completed"""
"""6146511""","""1571668""","""A-000144328""",01/02/2018,"""1711-CR9A-S""",""" ""","""Completed"""
"""6146512""","""1571723""","""A-000144332""",01/02/2018,"""1711-93CH-S""",""" ""","""Completed"""
"""6146513""","""1571951""","""A-000147751""",01/02/2018,"""1712-H4GP-S""",""" ""","""Completed"""
"""6146517""","""1572921""","""A-000147832""",01/02/2018,"""1712-HHM4-S""",""" ""","""Completed"""
"""6146518""","""1574660""","""A-000149446""",01/02/2018,"""1801-F38V-S""",""" ""","""Completed"""
"""6146521""","""1573620""","""A-000148515""",01/02/2018,"""1801-9MGR-S""",""" ""","""Completed"""
"""6146522""","""1574382""","""A-000148733""",01/02/2018,"""1801-MBXK-S""",""" ""","""Completed"""
"""6146523""","""1568665""","""A-000132150""",01/02/2018,"""1710-JNQJ-S""",""" ""","""Completed"""
"""6146526""","""1569538""","""A-000136898""",01/02/2018,"""1710-FGKK-S""",""" ""","""Completed"""
"""6146528""","""1567579""","""A-000130405""",01/02/2018,"""1710-YF69-S""",""" ""","""Completed"""
"""6146529""","""1569434""","""A-000134660""",01/02/2018,"""1710-CXCH-S""",""" ""","""Completed"""
